OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
51077,"ROGERS, AR",1,WM Supercenter,Retail,2110 W WALNUT ST,ROGERS,BENTON,AR,72756-3246,Open,29e01211-412e-47e1-85e9-a4162a9680ca,-10480624.7499,4346304.0213
51078,HARRISON AR,2,WM Supercenter,Retail,161 N WALMART DR,HARRISON,BOONE,AR,72601-1960,Open,2e5c7c63-3469-4572-9713-e43b3554c329,-10368200.9698,4337694.3481
51079,COMMERCE GA,3,WM Supercenter,Retail,30983 HIGHWAY 441 S,COMMERCE,JACKSON,GA,30529-6655,Open,42a1faa5-f7aa-4b66-bd07-694501e68678,-9290316.827,4062122.0885
51080,SILOAM SPRINGS AR,4,WM Supercenter,Retail,2901 HIGHWAY 412 E,SILOAM SPRINGS,BENTON,AR,72761-8673,Open,5ae6449c-7a76-4bb8-a574-fa89ad1c9dc5,-10521088.4943,4325892.7064
51081,CONWAY AR,5,WM Supercenter,Retail,1155 HWY 65 NORTH,CONWAY,FAULKNER,AR,72032-2857,Open,b195cb36-dc6c-481e-9149-5f07f3aa1d86,-10290044.4459,4178648.581
51082,NORTH LITTLE ROCK AR,7,WM Supercenter,Retail,9053 HIGHWAY 107,SHERWOOD,PULASKI,AR,72120-2933,Open,a174ec93-0e71-4aa5-addd-cfd8f63e1e2d,-10267750.3801,4142005.5873
51083,MORRILTON AR,8,WM Supercenter,Retail,1621 NORTH BUSINESS 9,MORRILTON,CONWAY,AR,72110-4505,Open,4799be97-c1a6-4365-ad18-8b91adb7e756,-10322293.3684,4186851.4699
51084,SIKESTON MO,9,WM Supercenter,Retail,1303 S MAIN ST,SIKESTON,NEW MADRID,MO,63801-9360,Open,bc0678ae-9976-49ca-931f-d729821ddb6c,-9972680.9266,4419240.9904
51085,TAHLEQUAH OK,10,WM Supercenter,Retail,2020 S MUSKOGEE AVE,TAHLEQUAH,CHEROKEE,OK,74464-5439,Open,5aee5f82-a198-416f-8a41-e97f465d09bf,-10573104.5301,4285332.1534
51086,MOUNTAIN HOME AR,11,WM Supercenter,Retail,65 WALMART DR,MOUNTAIN HOME,BAXTER,AR,72653-6784,Open,2bb256c6-5089-46aa-b862-525d01c9e926,-10279339.9636,4349581.4891
51087,CLAREMORE OK,12,WM Supercenter,Retail,1500 S LYNN RIGGS BLVD,CLAREMORE,ROGERS,OK,74017-8353,Open,22e7621a-21aa-4b4a-bdf9-fce1072b0103,-10645169.3176,4341145.1539
51088,CARTHAGE MO,13,WM Supercenter,Retail,2705 GRAND AVE,CARTHAGE,JASPER,MO,64836-7907,Open,fe7a69ca-dcea-4d7d-80fb-87e3f889c4dd,-10498903.4103,4458915.7682
51089,LEBANON MO,14,WM Supercenter,Retail,1800 S JEFFERSON AVE,LEBANON,LACLEDE,MO,65536-4208,Open,44606745-aff1-4664-8144-3962cae6b22d,-10313302.4271,4531998.8077
51090,WEST PLAINS MO,15,WM Supercenter,Retail,1310 PREACHER ROE BLVD,WEST PLAINS,HOWELL,MO,65775-2938,Open,96593fcf-e38f-410a-8e0b-56970681555f,-10226957.4641,4399415.5717
51091,VAN BUREN AR,16,WM Supercenter,Retail,2214 FAYETTEVILLE RD,VAN BUREN,CRAWFORD,AR,72956-6508,Open,a8d2f6b5-446c-4b76-9226-403509b5642f,-10503365.9861,4227812.3329
51092,NEOSHO MO,17,WM Supercenter,Retail,3200 LUSK DR,NEOSHO,NEWTON,MO,64850-2028,Open,aea65070-4f76-40f0-8289-88dc58a08271,-10508257.3645,4416711.554
51093,NEWPORT AR,18,WM Supercenter,Retail,1211 HIGHWAY 367 N,NEWPORT,JACKSON,AR,72112-2513,Open,7bb3a5fa-0dea-4ad0-b3f9-b2890052a750,-10158450.3362,4248169.6595
51094,POPLAR BLUFF MO,19,WM Supercenter,Retail,333 S WESTWOOD BLVD,POPLAR BLUFF,BUTLER,MO,63901-5519,Open,bbf94016-e079-40d7-a16a-94f514717bc8,-10064596.3169,4405114.9782
51095,CLINTON MO,20,WM Supercenter,Retail,1712 E OHIO ST,CLINTON,HENRY,MO,64735-2402,Open,9c10d316-eb44-474e-84f8-a99b174274e5,-10436267.3838,4630800.8484
51096,ST ROBERT MO /WAYNESVILLE,21,WM Supercenter,Retail,185 SAINT ROBERT BLVD,SAINT ROBERT,PULASKI,MO,65584-3311,Open,dbdb0f34-89be-4aaf-8722-96817a872f0b,-10258343.2152,4554755.2969
51097,PRYOR OK,22,WM Supercenter,Retail,4901 S MILL ST,PRYOR,MAYES,OK,74361-6837,Open,618fc217-59b4-4956-bda7-9ae2b6e5e14a,-10612083.8291,4336808.6597
51098,RUSTON LA,23,WM Supercenter,Retail,1201 N SERVICE RD E,RUSTON,LINCOLN,LA,71270-2917,Open,29035c6e-b623-489b-b5c7-cad28108e4c6,-10310861.302,3834869.1816
51099,JACKSONVILLE AR,24,WM Supercenter,Retail,2000 JOHN HARDEN DR,JACKSONVILLE,PULASKI,AR,72076-2730,Open,da53b35a-d6db-4986-b9c9-821635e990ee,-10253935.854,4148290.12
51100,MEXICO MO,25,WM Supercenter,Retail,4820 S CLARK ST,MEXICO,AUDRAIN,MO,65265-4111,Open,08742e82-29b1-4160-9d98-fea055a49ac7,-10229232.0552,4738957.0787
51101,LEAVENWORTH KS,26,WM Supercenter,Retail,5000 10TH AVE,LEAVENWORTH,LEAVENWORTH,KS,66048-5514,Open,00d46397-ddb7-4b6d-856e-5fcb894c8a8c,-10567599.2247,4760248.1882
51102,SALEM MO,27,WM Supercenter,Retail,1101 W HIGHWAY 32,SALEM,DENT,MO,65560-2368,Open,a1f44c4e-05eb-4786-a4d4-e2dbb3457a1e,-10190835.8478,4527883.143
51103,MIAMI OK,28,WM Supercenter,Retail,2415 N MAIN ST,MIAMI,OTTAWA,OK,74354-2232,Open,2314af25-547f-4fcd-b095-3c47b260fcbf,-10562030.1332,4425810.0692
51104,JEFFERSON CITY MO,29,WM Supercenter,Retail,724 STADIUM WEST BLVD,JEFFERSON CITY,COLE,MO,65109-4772,Open,aff2f7eb-eacf-4ab6-8d06-309845f99ff6,-10265873.0882,4661694.4754
51105,DEXTER MO,30,WM Supercenter,Retail,2025 W BUSINESS US HIGHWAY 60,DEXTER,STODDARD,MO,63841-2879,Open,8da6fe6f-0022-4e1a-b36e-15f9d06cffb3,-10017905.1376,4411430.6529
51106,POTEAU OK,31,WM Supercenter,Retail,3108 N BROADWAY ST,POTEAU,LE FLORE,OK,74953-5410,Open,f23f14db-880d-4e40-8554-660e86b94f33,-10533964.0406,4176741.764
51107,BRANSON MO,32,Wal-Mart,Retail,2050 W 76 COUNTRY BLVD,BRANSON,TANEY,MO,65616-2100,Open,e9752cd6-0b79-4655-bb24-4b2f5908f5c6,-10381629.9966,4388913.0314
51108,NASHVILLE AR,33,WM Supercenter,Retail,1710 S 4TH ST,NASHVILLE,HOWARD,AR,71852-3413,Open,70742fe4-7582-4b3f-a1d4-07a6202612e7,-10448153.745,4018788.2545
51109,NEVADA MO,34,WM Supercenter,Retail,2250 LINCOLN AVE,NEVADA,VERNON,MO,64772-4258,Open,def86092-f726-41b8-ba2b-c50451e8999a,-10500383.7369,4555748.4859
51110,MANHATTAN KS,35,WM Supercenter,Retail,101 BLUEMONT AVE,MANHATTAN,RILEY,KS,66502-5093,Open,e1537682-dde0-4a8b-a246-34516edc5bbc,-10748597.147,4748703.2026
51111,PARAGOULD AR,36,WM Supercenter,Retail,2802 W KINGSHIGHWAY,PARAGOULD,GREENE,AR,72450-2617,Open,27f85838-097d-40e8-859d-b0e50995c739,-10076967.8085,4308509.3193
51112,FARMINGTON MO,37,WM Supercenter,Retail,707 WALTON DR,FARMINGTON,ST. FRANCOIS,MO,63640-1950,Open,f18f1ca5-a958-48bb-9916-3f32dc053ed3,-10067208.7627,4549727.2446
51113,IDABEL OK,38,WM Supercenter,Retail,1907 SE WASHINGTON ST,IDABEL,MCCURTAIN,OK,74745-5253,Open,8adf1deb-aa6d-47ec-891e-9f7cf55dec0d,-10553481.4642,4015115.8709
51114,FORT SCOTT KS,39,WM Supercenter,Retail,2500 S MAIN ST,FORT SCOTT,BOURBON,KS,66701-8724,Open,b7f86356-7200-4e6c-9c68-275f1b2cc905,-10542935.7236,4552328.8872
51115,MOBERLY MO,40,WM Supercenter,Retail,1301 E HIGHWAY 24,MOBERLY,RANDOLPH,MO,65270-3683,Open,872b67dd-13dd-4e71-b797-e2c4cf39d575,-10288197.6555,4786001.271
51116,BARTLESVILLE OK,41,WM Supercenter,Retail,4000 SE GREEN COUNTRY RD,BARTLESVILLE,WASHINGTON,OK,74006-5000,Open,1322728c-b984-4178-95c0-5d138b1a326b,-10679061.8724,4403020.3551
51117,COFFEYVILLE KS,42,WM Supercenter,Retail,1863 CR 5300,COFFEYVILLE,MONTGOMERY,KS,67337-8301,Open,f1c2b33b-f6d4-403d-8caf-0087d5c361a0,-10639809.8407,4445012.7314
51118,JUNCTION CITY KS,43,WM Supercenter,Retail,521 E CHESTNUT ST,JUNCTION CITY,GEARY,KS,66441-9410,Open,5834da60-ffb2-4418-b57a-fd326aaa276f,-10778028.1279,4724388.5103
51119,ELDON MO,44,Wal-Mart,Retail,1802 S BUSINESS 54,ELDON,MILLER,MO,65026-1786,Open,51db33b0-c7fc-41a5-b101-5aa5bb40b805,-10306376.9076,4626898.2221
51120,JONESBORO AR,45,WM Supercenter,Retail,1815 E HIGHLAND DR,JONESBORO,CRAIGHEAD,AR,72401-6118,Open,0573d850-033a-4361-b81a-eab422a814aa,-10095037.9675,4275743.3118
51121,BOLIVAR MO,46,WM Supercenter,Retail,2451 S SPRINGFIELD AVE,BOLIVAR,POLK,MO,65613-9123,Open,ce79d6b0-9969-49a8-b516-b9287a3d8206,-10397682.9351,4521909.2956
51122,SALLISAW OK,47,WM Supercenter,Retail,1101 W RUTH AVE,SALLISAW,SEQUOYAH,OK,74955-7252,Open,9603ea45-5e3f-4d92-a984-c01f0d04d44f,-10553289.4381,4225341.9079
51123,MONETT MO,48,WM Supercenter,Retail,885 E US HIGHWAY 60,MONETT,BARRY,MO,65708-9367,Open,e18c3ca2-061b-4fc6-95b2-24031e10d1f7,-10453248.2815,4426815.2312
51124,HUGO OK,49,WM Supercenter,Retail,1911 E JACKSON ST,HUGO,CHOCTAW,OK,74743-4249,Open,92367208-3c4f-4af1-b572-148bb834cc14,-10629669.8596,4029774.7598
51125,VINITA OK,50,WM Supercenter,Retail,268 S 7TH ST,VINITA,CRAIG,OK,74301-3737,Open,39b47981-12b4-40c2-ad76-b778c3499001,-10590977.8762,4387915.7389
51126,FULTON MO,51,WM Supercenter,Retail,1701 N BLUFF ST,FULTON,CALLAWAY,MO,65251-2499,Open,9f227979-d5ad-491c-b9aa-211d23baf09a,-10235353.848,4702241.1585
51127,HOT SPRINGS AR,52,WM Supercenter,Retail,1601 ALBERT PIKE RD,HOT SPRINGS,GARLAND,AR,71913-4020,Open,e3878368-df50-4183-83c6-794d12586201,-10362664.8289,4094921.263
51128,SPRINGDALE AR,54,WM Supercenter,Retail,2004 S PLEASANT ST,SPRINGDALE,WASHINGTON,AR,72764-6204,Open,6cf25cad-9533-4e5a-9734-b50d378891d9,-10480389.1979,4323516.1925
51129,BOONEVILLE AR,55,WM Supercenter,Retail,1400 EAST MAIN ST,BOONEVILLE,LOGAN,AR,72927-4921,Open,3c049af6-dc89-4f78-a7e4-404b9447689b,-10453195.8501,4182900.8451
51130,AVA MO,56,WM Supercenter,Retail,1309 NW 12TH AVE,AVA,DOUGLAS,MO,65608-0000,Open,b04c4ab2-3746-4118-b948-483b073cd027,-10316715.8166,4433448.2055
51131,WALNUT RIDGE AR,57,Wal-Mart,Retail,1600 W MAIN ST,WALNUT RIDGE,LAWRENCE,AR,72476-9401,Open,04d1f749-38da-431a-a6aa-f0cd20010b2b,-10127207.8532,4311173.7014
51132,RUSSELLVILLE AR,58,WM Supercenter,Retail,2409 E MAIN ST,RUSSELLVILLE,POPE,AR,72802-9619,Open,f8e6bb63-6489-40fa-bd47-b0c53e9863e8,-10364429.9107,4202066.4295
51133,JOPLIN MO,59,WM Supercenter,Retail,1501 S RANGE LINE RD,JOPLIN,JASPER,MO,64804-3230,Open,b7ea1f0d-6ed4-4186-9754-bb2e87cd0c6f,-10516679.9085,4449274.798
51134,TROY MO,60,WM Supercenter,Retail,101 HIGHWAY 47 E,TROY,LINCOLN,MO,63379-3100,Open,3fb5c029-20f4-4238-9545-1e24ba2c0d5a,-10128069.1321,4720060.8076
51135,WARRENSBURG MO,61,WM Supercenter,Retail,301 E COOPER BLVD,WARRENSBURG,JOHNSON,MO,64093-1260,Open,697c40af-b27c-4760-9f28-421eb2d7055f,-10434578.7784,4690369.2092
51136,BLYTHEVILLE AR,62,WM Supercenter,Retail,3700 E HIGHWAY 18,BLYTHEVILLE,MISSISSIPPI,AR,72315-6881,Open,b732b2fa-a470-44d0-9f45-8d4e68f7e575,-10004536.0008,4291145.1126
51137,WAGONER OK,63,WM Supercenter,Retail,410 S DEWEY AVE,WAGONER,WAGONER,OK,74467-5500,Open,7298ef75-1e00-4521-8b42-c95d37330a98,-10619600.455,4294662.1054
